Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
"Mr Strauss has been admitted for emergency surgery. His normal medication is dabigatran for atrial fibrillation and so the effects of his anticoagulant need to be reversed before operating. Mr Strauss also takes candesartan and levothyroxine for hypertension and hypothyroidism.
Which agent is most suitable to use for reversal of the effects of dabigatran?",Idarucizumab,"Flumazenil
",Naloxone,"Phytomeniadone
","Protamine
",A,Idarucizumab is a monoclonal antibody designed for the reversal of anticoagulant effects of dabigatran.
"Post-operatively, Mr Strauss returns to the ward with an epidural catheter in situ for his pain relief. That evening Mr Strauss is eating and drinking, and is prescribed his usual medications plus post-operative medications.
Which ONE of the following drugs should be omitted to reduce the in risk of complications associated with the insertion of an epidural catheter?
",Candesartan,"Levothyroxine
",Dabigatran,Gliclazide,Dalteparin,C,NOACs risk causing epidural haematoma (collection of blood in between skull and dura mater). No evidence of a risk with LMWH.
"You are an independent prescribing pharmacist and your competency is in acute stroke and transient ischaemic attacks.
Which of the options is the most appropriate use of aspirin?",Prevention of cardiovascular events in a healthy 25-year-old made with a strong history of early-onset heart disease,Prevention of cardiovascular events in a COPD patient who has previously had a myocardial infarction,Prevention of cardiovascular events in a diabetic patient who has not already had a cardiovascular event,As an enteric coated tablet in patients with a history of gastric ulcer,As a capsule to treat episodes of acute pain,B,A patient who has had a recent myocardial event is at higher risk of a cardiovascular events compared individuals with no previous myocardial events regardless of their comorbidities.
"Ms Larens is prescribed a parenteral anticoagulant for venous thromboembolism prohylaxis. She is given low molecular weight heparin - tinzaparin.
What is the rationale for prescribing a low molecular weight heparin (LMWH) in preference to unfractionated heparin?
","LMWH have a lower risk of heparin-induced thrombocytopenia
",LMWH allow people to have regular INR monitoring to ensure safety,"LMWH are more effective at preventing thromboembolism
",LMWH have a higher risk of heparin-induced thrombocytopenia,N/A,A,"To induce thrombocytopenia, a specific saccharide sequence needs to be present in the heparin formulation. This sequence is more commonly found in unfractionated heparin compared to low molecular weight heparin."
"A 62-year-old man has been prescribed warfarin after an myocardial infarction. He is admitted into hospital with an INR of 10.4 with minor bleeding.
Which is the most appropriate course of action?
",Stop warfarin; give phytomenadione (vitamin K1) by slow IV injection; give dried prothrombin 25-50 units/kg,Stop warfarin; give phytomenadione (vitamin K1) by slow IV injection; repeat dose of phytomenadione if INR still too high after 24 hours; restart warfarin when INR <5.0,Stop warfarin; give phytomenadione (vitamin K1) by mouth using the IV preparation orally; repeat dose of phytomenadione if INR still too high after24 hours; restart warfarin when INR <5.0,Stop warfarin; give phytomenadione (vitamin K1) by slow IV injection; restart warfarin when INR <5.0,Withhold 1 or 2 doses of warfarin and reduce subsequent maintenance,D,If INR>8.0 and minor bleeding – stop warfarin; give phytomenadione (Vitamin K1) by slow IV injection; repeat dose of phytomenadione if INR still too high after 24 hours; restart warfarin when INR <5.0
"Mr Swaine has experienced some chest pain and is diagnosed with angina on a past medical history of type 2 diabetes mellitus. He now complains of severe headaches he has not experienced before.
Which medicines below is most likely to be causing the headaches?",Aspirin,Enalapril,Rosuvastatin,Gliclazide,Isosorbide mononitrate,E,"Side effects of nitrates include dizziness; postural hypotension; throbbing headache; tachycardia.
"
"A 56-year-old man is admitted to hospital with heart failure. He is started on digoxin and after an oral loading dose he is maintained on 125 micrograms daily. He requires a blood test to monitor his plasma digoxin concentration.
When is the most appropriate time take blood to monitor his digoxin levels?
",At least 8 hours after an oral dose has been administered,Between 2-3 hours after an oral dose has been administered,"At least 6 hours after an oral dose has been administered
",Immediately after an oral dose has been administered,Thirty minutes after an oral dose has been administered,C,"BNF: for plasma-digoxin concentration assay, blood should be taken at least 6 hours after a dose. Serum electrolytes and renal function should be monitored as risk of toxicity increased by electrolyte disturbances.
"
"Mr Willis is started on amiodarone in hospital for ventricular fibrillation.  2 weeks after discharge he comes into your pharmacy to get a further supply. Whilst talking he reveals he is feeling tired and that his stools have gone from a dark brown to clay-coloured. He is concerned the amiodarone is causing this.
How should you advise this patient?",The symptoms described are not known to be caused by amiodarone,Stop taking the amiodarone immediately and see the GP as soon as possible,"He should see the GP as the dose of amiodarone may need to be increased
","He should see the GP as the dose of amiodarone may need to be decreased
","He is experiencing a side effect of amiodarone but may want to speak to the GP about an alternative but keep taking the amiodarone until then
",B,Amiodarone may cause hepatotoxicity. Stop using this medicine and check with your doctor right away if you are having more than one of these symptoms: abdominal pain or tenderness; clay-coloured stools; dark urine; decreased appetite; fever; headache; itching loss of appetite; nausea and vomiting; skin rash; swelling of the feet or lower legs; unusual tiredness or weakness; or yellow eyes or skin.
"A man comes into your pharamcy with his 6-year-old daughter. She has been prescribed Trimovate cream for a bacterial skin infection on her feet. The instructions are to to apply one application to both feet once daily for 14 days.
Trimovate contains clobetasone 17-butyrate 0.05% w/w, oxytetracycline 3.0% w/w as calcium oxytetracycline and nystatin 100,000 units per gram.
  
How many milligrams of oxytetracycline does a 30g tube of Trimovate cream contain? 

",90.3g,900mg,30g,900g,3g,B,"The concentration of oxytetracycline is 3.0% w/w this means that 3 g of the drug is found in 100 g, i.e., 3 g in 100 g.

The question would like you to identify how many milligrams of oxytetracycline there are in a 30 g tube therefore you are required to complete some calculation steps.

Step one: 30 g/100 g = 0.3 g
Step two: 0.3 g x 3 g = 0.9 g of Oxytetracycline in 30 g tube
Step three: The question requires you to provide an answer in milligrams therefore 0.9 g x 1000 = 900 mg
"
"A patient on palliative care is prescribed diamorphine 25 mg that is to be given subcutaneously over 24 hours via a syringe driver. The diamorphine infusion that contains 5 mg/mL.                                                                                                                                                                                           What is the correct infusion rate in mL/hour that the syringe driver should be set at? Give your answer to one decimal place.
",25mL/hour,0.2mL/hour,2mL/hour,2L/hour,5mL/hour,B,"25 mg over 24 hours
Infusion contains 5 mg/mL, therefore 5 mL needed over 24 hours = 0.20833mL/hour To one decimal place is 0.2 mL."
"A 4-year-old girl is prescribed a cefalexin suspension to treat a lower urinary tract infection. She weighs 16.8 kg.
The dose for this is 12.5mg/kg twice daily for 3 days.
On hand you have cefalexin 125mg/5mL suspension, pack size 100 mL bottles, in stock. You tell the her parent to discard any unused solution once the course is complete.
How much cefalexin 125mg/5mL suspension will be discarded at the end of the course?
Give your answer to one decimal place.
",50.4mL,504mL,49.6mL,420mL,496mL,C,"12.5 mg/kg x 16.8 kg = 210 mg per dose 210 mg x 2 times daily = 420 mg daily 420 mg x 3 days = 1260 mg for 3 days
Calculate the amount you would need to supply: 1260 mg/? mL = 125mg / 5mL
= 50.4 mL
Calculate amount that will be unused and discarded: 100 mL – 50.4 mL = 49.6 mL"
"Mr Abrams joins a clinical trial and is given the drug CA243- 201 as a treatment for a rare genetic disorder. He weighs 67kg and his initial serum drug concentration immediately after administration was 135 mg/L. The clearance rate of the drug is thought to be 8 mL/kg/minute.

What quantity of CA243-201 in grams, do you expect to be cleared from his body 5.5 hours after administration? Give your answer to one decimal place.",23.9g,23.8g,238g,239g,67g,A,"Clearance rate is 8mL/kg/min x 67kg = 536 mL/minute.
5.5 hours = 330 minutes
536mL x 330mins = 176,880mL cleared in 5.5 hours
Serum concentration = 135mg/1,000mL at 0 hours, Xmg in 176,880mL. 176,880 mL = 176.88 L
Therefore 135 mg/L x 176.88 L = 23,878 mg, therefore Xmg = 23,878.8mg = 23.9g to one decimal place
"
"Ms Layman, a 52-year-old woman comes to your pharmacy with a prescription for chloramphenicol 0.5% minims for a severe eye infection. The instructions on the prescription read: ‘Place ONE drop into the LEFT eye SIX times a day for 10 days’.
Chloramphenicol 0.5% minims come in boxes of 20 dose units after each use each minim should be discarded.
     
How many boxes of minims do you need supply to this patient with?",30 boxes,60 boxes,10 boxes,6 boxes,3 boxes,E,"1 minim per use x 6 times daily = 6 minims per day 6 minims per day x 10 days treatment = 60 minims 60 minims / 20 doses per box = 3 boxes
"
"In order to prdouce a 1 in 1000 solution, what volume of water must be added to 750mL of a 5% solution?
Give your answer in litres to two decimal places",7.50L,36.75L,36.65mL,37.50L ,7.75mL,B,"Step 1 - Calculate the target solution Target = 1 in 1000
= 1 g in 1000 mL
0.1 g in 100 mL = 0.1% w/v
Step 2 - Calculate what we have We have 750mL of a 5% solution
Step 3 - Use the formula C1V1=C2V2
C1 x v1 = c2 x v2
5 x 750 = 0.1 x v2
V2 = 5 x 750/0.1 = 3750/0.1= 37,500 mL
750mL of a 5 % w/v solution can make 37,500mL of a 0.1%w/v (1 in 1000) solution.
Step 4 - Take away the amount of stock! The question asks for water only! Amount of water to be added is 37500 – 750 = 36,750 mL"
"An 11-month-old girl is prescribed omeprazole dispersible tablets for gastro-oesophageal reflux disease (GORD).
The prescription reads:
Omeprazole dispersible 20 mg tablets
Dose: Disperse a QUARTER of a tablet in 10mL of water and take ONCE DAILY. Quantity: 30 days’ supply.
How do you need to supply the patient? 
",4 tablets,7 tablets,6 tablets,8 tablets,9 tablets,D,"The patient is to take a quarter (5mg) of Omeprazole 20mg dispersible tablets once a day.
One tablet will provide four doses; thus, one tablet would allow dose administrations for a total of four days.
For 30 days’ supply:
30 days / 4 days = 7.5 tablets
You will need to supply 8 tablets to provide 30 days of treatment."
"You work for a supplier of unlicensed medicines and have been asked to give advice on the preparation of a new drug. You need to prepare 150mg of the drug, at a concentration of 6mg/mL. The displacement volume of the new drug is 0.5mL/50mg.
What volume of diluent do you need to produce the required concentration? ",1.5mL,25mL,6mL,23.5mL,20mL,D,"The displacement volume = the volume occupied by a solute when added to a solution. The required concentration is 6mg/mL, therefore 25mL is needed for 150mg of drug.
If 50mg displaces 0.5mL of solution, this means 150mg would displace 1.5mL.
25mL – 1.5mL = 23.5mL"
"A patient comes to your pharmacy with a prescription for effervescent potassium chloride and potassium bicarbonate tablets (Sando-K), two tablets to be taken three times for 3 days. Each Sando-K tablet contains 12 mmol of potassium, the diet of a healthy adult will provide a total intake of 100 mmol potassium.

If they take the tablets as prescribed what percentage (%) of their daily intake of potassium will be provided by the Sando-K?
",24%,15%,50%,72%,86%,D,"12 mmol x 2 = 24 mmol 24 mmol x 3 = 72 mmol 72/100 = 0.72
0.72 x 100 = 72 %"
"A patient with cellulitis is discharged from hospital on 14 day course of flucloxacillin 500 mg four times daily.
If the patient has already had three full days of treatment of flucloxacillin, how many 250 mg capsules would you need to supply to complete the course?",88 capsules,92 capsules,112 capsules,72 capsules,11 capsules,A,Total supply: 14 – 3 = 11 days treatment required therefore 11 x 4 x 2 = 88 capsules
"This drug has two mechanisms for providing analgesia: an opioid effect and enhancing serotonergic and adrenergic pathways.
Which of the following is the drug most likely to be?
","Buprenorphine
","Pethidine
","Dipipanone hydrochloride
","Tramadol
",Codeine,D," Tramadol is a centrally acting synthetic opioid analgesic and enhances serotonergic and adrenergic neurotransmission.

"
"Mr LP weighs 90kg and was started on 600mg lithium carbonate twice daily. His levels have been monitored for the past few weeks.
Which of the following is the target serum-lithium concentration?
","0.1-0.5 mg/litre
","0.4-1 mmol/litre
","0.2-1 mmol/litre
",0.8-1 mmol/litre,"1-2 mmol/litre 
",B,"Lithium salts have a narrow therapeutic/toxic ratio and should therefore not be prescribed unless serum-lithium concentrations can be monitored. Samples should be taken 12 HOURS after the dose to achieve a serum-lithium concentration of 0.4-1 mmol/litre. A target serum-lithium concentration of 0.8-1 mmol/litre is recommended for acute episodes of mania.
"
"A 67-year-old woman is admitted to hospital following a fall at home. Recently she has been feeling very weak and drowsy and appears confused. The doctor has sends her for further testing. 

Which of the following medications is the most likely cause of her fall?
","Ibuprofen
","Lansoprazole
","Amlodipine
","Fluoxetine
","Atorvastatin
",D,"Hyponatraemia (usually in the elderly and possibly due to inappropriate secretion of antidiuretic hormone) is associated with all types of antidepressants but is more frequently reported with SSRIs. Hyponatraemia should be considered in all patients who develop drowsiness, confusion, or convulsions while taking antidepressants.
"
"A 49-year-old man has been taking Lithium Carbonate 400mg (Priadel) tablets for the past 15 years for bipolar disorder. He comes into your pharmacy with a prescription and tells you he was advised to come back immediately if he notices signs of diarrhoea, vomiting, drowsiness or muscle twitching.
Which  drug is the prescription most likely for?
",Amoxicillin,Clozapine,Ibuprofen,Theophylline,Trimethoprim,C,These are symptoms of lithium toxicity. Ibuprofen increases the concentration of lithium and therefore puts the patient at risk of toxicity. Manufacturer advises to monitor and adjust the dose.
"You receive a prescription for haloperidol depot injections for one of your patients but your system shows this particular patient usually takes haloperidol tablets.
What is the most likely reason the haloperidol has been changed from tablets to a depot injection?
",To improve adherence, To improve efficacy,To provide a more rapid response,To reduce the risk of extrapyramidal side effects,To reduce the risk of neuroleptic malignant syndrome,A,"Relapse and non-adherence is very common in psychotic/schizophrenic patients. Depots are recommended in order to save the patient managing any tablets/capsules, improving adherence and preventing relapse/admission into hospital."
"An otherwise healthy 2-year-old child is pyrexial with flu-like symptoms and needs paracetamol.
What is the most appropriate dose of paracetamol to be administered every six hours?
",60mg,120mg,180mg,240mg,360mg,C,Child 2-3 years: 180mg every 4-6 hours; maximum 4 doses per day.
"Ms Donahue has come into hospital following a car accident. She lost control of body movements and fell asleep at the wheel. Medical staff noted that her eyes were moving rapidly and involuntarily and she is in respiratory depression. Her drug history shows Bisoprolol and Diazepam.
What does this indicate?
",Ms Donahue has gone into anaphylactic reaction,"Ms Donahue has taken the wrong medication
","Ms Donahue is experiencing an overdose with benzodiazepines
",She is experiencing a severe interaction between two medications,Ms Donahue has taken too much bisoprolol,C,"Overdose: Ataxia, Nystagmus, Respiratory Depression, Coma, Drowsiness
"
"A 34-year-old female has a sudden onset of a severe headache. She tells you she's feeling sick and has experienced blurred vision since before the pain began.
Which is the most appropriate treatment to treat the headache?
","Almotriptan 12.5mg tablets
","Pizotifen 1.5mg tablets
",Propranolol 80mg tablets,"Timolol maleate 10mg tablets
",Topiramate 50mg tablets,A,"Almotriptan is the treatment of acute migraine. The other options except Topiramate, which is indicated for epilepsy, are for migraine prophylaxis."
"A mother comes into your pharmacy requesting a bottle of ibuprofen for her child.
What is the recommended dose for a 3 year old?
",50mg three times a day,50mg three to four times a day,100mg three times a day,"150mg three times a day
"," 200mg three times a day
",C,"Child 1-3 years: 100mg 3 times a day, maximum daily dose to be given in 2-4 divided dose; maximum 30mg/kg per day.
"
"A 47 year old woman started metformin 6 months ago and has been suffering from chronic diarrhoea since. The GP has opted to change her medication to Canagliflozin 100mg once daily as monotherapy. 
What is of the options below is the mechanism of action of Canagliflozin?
","Binds to, and activates the glucagon-like peptide-1 receptor to increase insulin secretion
","Reversibly inhibits sodium-glucose co-transporter 2 in the renal proximal convoluted tubule to reduce glucose reabsorption and increase urinary glucose excretion
","Inhibits dipeptidylpeptidase-4 to increase secretion and lower glucagon secretion
",Decrease gluconeogenesis and increases peripheral utilisation of glucose,An inhibitor of intestinal alpha glucosidases and delays the absorption of starch and sucrose,B,"Dapagliflozin, Canagliflozin and Empagliflozin reversibly inhibit sodium-glucose co-transporter 2 in the renal proximal convoluted tubule, reducing glucose reabsorption and increasing urinary glucose excretion."
"Mr Novik has type 2 diabetes and needs to start insulin therapy. He would like an insulin preparation that is injected subcutaneously TWICE daily along with meals.
Which of the following options is the most suitable insulin preparation for Mr Novik?
",Actrapid (soluble insulin)," Apidra (insulin glulisine)
","Humalog Mix25 (biphasic insulin lispro)
",Lantus (insulin glargine),"NovoRapid (insulin aspart)
",C,Humalog Mix25 (biphasic insulin lispro) contains an intermediate acting and rapid acting insulin and is commonly used for twice daily regimens when basal-bolus regimens are unsuitable/not tolerated.
